draw,tau
424,-2.56628933904451
425,-1.3751252612171685
426,-1.5847015063392238
427,-1.6040230590989903
428,-1.9062935704999981
429,-2.242677918784829
430,-1.6344084852649727
431,-2.537559658878565
432,-2.3559543138650776
433,-1.6346838373994306
434,-1.5510266577415832
435,-1.6040621528012666
436,-1.9577234284415903
437,-1.5141044486463553
438,-1.6038665592536878
439,-3.1090182441340337
440,-1.9058436245643238
441,-1.5140803609319304
442,-1.5139499135406904
443,-2.4449466419328862
444,-2.7432579894447278
445,-1.650837232711834
446,-1.1318650530825147
447,-1.7364416111654313
448,-1.315982341311023
449,-1.5509124399231151
450,-1.3161220899207766
451,-1.5655378026850597
452,-1.6042036604981176
453,-2.0973992714333276
454,-1.6343878084559682
455,-1.4033375986298333
456,-1.634126872783777
457,-1.9060684454478052
458,-1.3858179546248843
459,-1.9568969481007157
460,-2.4621184033905665
461,-1.5139891206129708
462,-1.571150032726905
463,-1.5658897571817212
464,-2.8686031458718775
465,-2.577541471613089
466,-1.6040036552760952
467,-1.7118221178419555
468,-1.9489253192927523
469,-2.4803103386981737
470,-1.513952501382252
471,-1.1246105920022664
472,-1.5139401170326332
473,-1.5657525997090387
474,-2.281738122640557
475,-1.5658221972923831
476,-2.0439657270896907
477,-1.3752110800731794
478,-1.7373907739398318
479,-1.5655675704551077
480,-1.603952653899074
481,-1.3158535346484017
482,-2.188259568207987
483,-1.957701985259308
484,-1.6039177489289687
485,-2.435240041728844
486,-1.5655007470236697
487,-1.5848032530540719
488,-1.9060905663098646
489,-2.432317290403401
490,-1.9577078618446917
491,-1.440552256850693
492,-2.3212578993907984
493,-1.6342351566705018
494,-2.4711738964965635
495,-1.9575781265066636
496,-1.7294927504429314
497,-1.9574510854242826
498,-2.7754942343994804
499,-2.725314116458864
500,-1.7128498120075504
